,depth,temp,salinity,EC,EC25,Density,sigmaT,Chl-Flu,Chl-a,dakudo,DO%,DOmg,V,No
0,0.0,6.605,0.0,-0.006,-10.673,999.921,-0.079,1.55,1.55,244.52,99.88,12.208,8.27,0.0
1,0.1,6.061,0.0,-0.007,-11.598,999.942,-0.059,3.57,3.57,13.3,100.0,12.244,8.24,0.0
2,0.2,5.951,0.0,-0.007,-12.035,999.945,-0.055,3.52,3.52,11.97,100.12,12.261,8.24,0.0
3,0.3,5.684,0.0,-0.005,-9.3,999.954,-0.048,0.46,0.46,372.48,99.18,12.137,8.19,0.0
4,0.4,5.565,0.304,0.395,689.33,1000.201,0.199,3.38,3.38,8.66,105.44,13.215,8.2,0.0
5,0.5,5.581,0.304,0.395,689.263,1000.201,0.198,3.76,3.76,8.26,106.34,13.325,8.18,0.0
6,0.6,5.567,0.304,0.395,689.906,1000.202,0.199,4.19,4.19,11.07,107.04,13.409,8.18,0.0
7,0.7,5.56,0.304,0.395,689.532,1000.202,0.199,4.3,4.3,11.41,107.17,13.427,8.18,0.0
8,0.8,5.557,0.304,0.394,688.857,1000.203,0.199,4.32,4.32,8.28,107.46,13.475,8.18,0.0
9,0.9,5.547,0.303,0.394,688.348,1000.203,0.199,4.86,4.86,8.02,107.66,13.506,8.18,0.0
10,1.0,5.528,0.304,0.394,689.062,1000.204,0.199,5.23,5.23,8.77,107.77,13.528,8.18,0.0
11,1.1,5.517,0.303,0.394,688.875,1000.205,0.2,6.71,6.71,17.2,107.96,13.556,8.18,0.0
12,0.0,5.39,0.0,-0.008,-13.661,999.959,-0.041,17.42,17.42,235.78,110.17,13.894,8.25,1.0
13,0.1,5.542,0.0,-0.002,-3.254,999.956,-0.044,0.0,0.0,1.06,101.58,12.369,8.2,1.0
14,0.2,5.544,0.028,0.039,67.423,999.979,-0.022,1.25,1.25,18.87,101.01,12.288,8.18,1.0
15,0.3,5.518,0.307,0.398,695.923,1000.204,0.202,2.85,2.85,12.84,99.81,12.116,8.19,1.0
16,0.4,5.492,0.085,0.114,199.744,1000.027,0.025,2.92,2.92,7.91,99.7,12.111,8.19,1.0
17,0.5,5.474,0.0,-0.005,-8.403,999.96,-0.043,3.38,3.38,7.09,99.28,12.059,8.18,1.0
18,0.6,5.465,0.0,-0.004,-7.357,999.961,-0.042,1.35,1.35,4.05,99.07,12.021,8.19,1.0
19,0.7,5.44,0.053,0.072,126.428,1000.004,0.001,1.09,1.09,189.36,97.83,11.802,8.19,1.0
20,0.8,5.446,0.005,0.005,9.255,999.966,-0.038,2.57,2.57,63.63,97.64,11.778,8.18,1.0
21,0.9,5.451,0.005,0.006,10.266,999.967,-0.038,2.87,2.87,19.34,97.42,11.745,8.18,1.0
22,1.0,5.405,0.303,0.392,689.168,1000.207,0.202,4.74,4.74,7.19,106.71,13.437,8.18,1.0
23,1.1,5.322,0.303,0.391,689.861,1000.209,0.204,4.98,4.98,7.33,106.91,13.482,8.18,1.0
24,1.2,5.262,0.302,0.389,687.298,1000.21,0.204,5.27,5.27,7.33,107.02,13.51,8.18,1.0
25,1.3,5.143,0.303,0.389,690.657,1000.214,0.207,5.42,5.42,7.49,107.07,13.536,8.18,1.0
26,1.4,4.981,0.301,0.384,686.568,1000.215,0.208,6.61,6.61,7.92,107.37,13.654,8.18,1.0
27,1.5,4.838,0.301,0.383,688.853,1000.219,0.211,8.07,8.07,9.22,107.22,13.698,8.18,1.0
28,1.6,4.738,0.314,0.398,718.804,1000.231,0.223,75.53,75.53,97.28,107.05,13.725,8.18,1.0
29,0.0,5.398,0.785,0.977,1717.017,1000.587,0.587,2.73,2.73,6.6,107.98,13.593,8.26,2.0
30,0.1,4.959,0.302,0.385,688.82,1000.21,0.21,5.25,5.25,7.28,107.68,13.72,8.19,2.0
31,0.2,4.816,0.302,0.384,691.019,1000.213,0.212,5.54,5.54,7.15,107.31,13.72,8.18,2.0
32,0.3,4.783,0.303,0.385,692.639,1000.215,0.213,5.72,5.72,7.11,107.1,13.703,8.18,2.0
33,0.4,4.775,0.302,0.384,692.157,1000.215,0.213,5.82,5.82,7.28,107.02,13.702,8.18,2.0
34,0.5,4.735,0.302,0.384,692.346,1000.216,0.213,6.02,6.02,7.38,107.06,13.729,8.18,2.0
35,0.6,4.725,0.302,0.383,691.714,1000.216,0.213,6.68,6.68,7.92,106.91,13.711,8.18,2.0
36,0.7,4.578,0.315,0.398,722.224,1000.229,0.226,122.22,122.22,138.02,106.87,13.751,8.18,2.0
37,0.0,5.328,0.008,0.01,17.886,999.967,-0.033,0.83,0.83,2.49,100.06,12.609,8.25,3.0
38,0.1,5.464,0.209,0.275,481.461,1000.126,0.125,4.96,4.96,537.97,99.33,12.485,8.18,3.0
39,0.2,5.482,0.359,0.462,809.172,1000.245,0.244,3.93,3.93,122.84,99.12,12.456,8.18,3.0
40,0.3,5.509,0.372,0.479,838.87,1000.256,0.255,3.13,3.13,33.64,99.19,12.474,8.19,3.0
41,0.4,5.273,0.303,0.391,690.293,1000.207,0.205,4.37,4.37,8.84,102.05,12.904,8.19,3.0
42,0.5,5.179,0.301,0.387,685.508,1000.207,0.205,6.95,6.95,12.23,102.55,13.017,8.18,3.0
43,0.6,5.02,0.302,0.387,690.464,1000.212,0.209,9.52,9.52,17.26,102.59,13.077,8.18,3.0
44,0.7,4.962,0.304,0.388,693.454,1000.215,0.211,9.23,9.23,17.66,102.69,13.088,8.18,3.0
45,0.8,5.002,0.304,0.388,693.015,1000.214,0.21,6.87,6.87,12.41,103.05,13.12,8.17,3.0
46,0.9,4.98,0.304,0.388,694.124,1000.216,0.211,9.41,9.41,22.81,103.79,13.202,8.16,3.0
47,1.0,5.111,0.303,0.389,691.883,1000.213,0.208,10.5,10.5,25.03,104.91,13.322,8.16,3.0
48,1.1,5.035,0.305,0.39,695.925,1000.216,0.211,18.36,18.36,57.46,105.33,13.402,8.18,3.0
49,1.2,5.141,0.309,0.397,704.144,1000.218,0.212,21.08,21.08,82.54,106.04,13.454,8.16,3.0
50,0.0,5.166,0.006,0.006,11.343,999.968,-0.032,-0.04,-0.04,2.21,98.6,12.392,8.26,4.0
51,0.1,5.15,0.0,-0.006,-10.431,999.965,-0.036,-0.03,-0.03,0.1,97.5,12.278,8.21,4.0
52,0.2,5.133,0.0,-0.006,-11.148,999.965,-0.036,1.44,1.44,25.79,97.43,12.267,8.17,4.0
53,0.3,5.118,0.0,-0.009,-15.915,999.966,-0.035,3.09,3.09,13.73,97.2,12.241,8.2,4.0
