番号,時間,X,Y
1,14:55,801,1625
2,14:56,813,1725
3,14:58,767,1818
4,14:59,773,1897
5,15:03,767,1996
6,15:05,785,2073
7,15:06,721,2087
8,15:07,616,2094
9,15:08,537,2136
10,15:09,490,2169
11,15:09,439,2249
12,15:10,407,2297
13,15:11,395,2313
14,15:11,355,2245
15,15:12,373,2163
16,15:13,478,2058
17,15:14,451,1981
18,15:15,524,1876
19,15:16,561,1812
20,15:18,607,1756
21,15:19,551,1636
22,15:20,629,1617
23,15:21,625,1673
24,15:22,638,1772
25,15:23,567,1833
26,15:24,589,2011
27,15:25,601,2033
28,15:26,555,2069
29,15:28,626,2091
30,15:29,626,2091
31,15:30,696,2034
32,15:32,720,1895
33,15:33,730,1785
34,15:34,716,1673
35,15:36,703,1421
36,15:37,780,1418
37,15:38,838,1332
38,15:39,904,1207
39,15:40,984,1194
40,15:41,1063,1056
41,15:42,1101,944
42,15:43,1087,837
43,15:44,1062,782
44,15:45,1074,662
45,15:45,1076,583
46,15:46,1073,461
47,15:47,1073,422
48,15:48,1080,366
49,15:49,965,348
50,15:49,917,322
51,15:51,882,303
52,15:52,827,274
53,15:54,766,256
54,15:55,677,303
55,15:56,560,203
56,15:57,488,144
57,15:59,421,142
58,16:00,361,181
59,16:02,345,239
60,16:02,345,296
61,16:03,387,412
62,16:04,415,548
63,16:05,464,664
64,16:06,522,760
65,16:07,570,874
66,16:08,580,934
67,16:09,575,1061
68,16:10,583,1149
69,16:11,545,1262
70,16:12,545,1356
71,16:13,590,1440
72,16:20,730,418
73,16:21,779,396
74,16:29,798,932
75,16:31,888,896
76,16:32,875,1031
77,16:33,958,1008
78,16:34,934,1136
79,16:35,1044,1255
