番号,時間,X,Y
1,14:47,95,546
2,14:49,68,528
3,14:50,72,514
4,14:51,66,497
5,14:52,81,486
6,14:54,106,461
7,14:55,108,446
8,14:56,113,450
9,14:57,127,481
10,14:59,99,520
11,15:00,110,544
12,15:02,128,560
13,15:03,158,563
14,15:04,189,583
15,15:05,204,611
16,15:06,153,600
17,15:07,123,584
18,15:09,110,568
19,15:13,439,615
20,15:15,479,625
21,15:16,526,628
22,15:17,564,634
23,15:18,606,629
24,15:19,658,625
25,15:20,705,632
26,15:21,735,618
27,15:22,689,553
28,15:24,669,502
29,15:25,654,448
30,15:26,652,407
31,15:27,641,373
32,15:28,599,369
33,15:29,555,362
34,15:31,530,429
35,15:32,555,468
36,15:34,584,526
37,15:35,596,581
38,15:36,546,582
39,15:37,519,580
40,15:39,496,540
41,15:40,478,479
42,15:41,468,440
43,15:42,436,402
44,15:43,402,360
45,15:44,374,313
46,15:46,338,287
47,15:47,319,273
48,15:48,289,240
49,15:49,265,230
50,15:50,235,211
51,15:51,190,204
52,15:52,157,191
53,15:53,181,155
54,15:54,205,138
55,15:55,256,142
56,15:56,278,144
57,15:57,308,142
58,15:58,348,141
59,15:59,379,155
60,16:00,415,170
61,16:01,446,189
62,16:02,473,205
63,16:03,492,226
64,16:05,488,280
65,16:06,495,327
66,16:07,446,303
67,16:08,412,291
68,16:09,393,246
69,16:10,363,219
70,16:11,332,208
71,16:13,299,190
72,16:14,272,177
73,16:15,240,167
74,16:19,376,108
